Assets,Liabilities,Equity,Paid-up Capital,Revenue,Profit (Loss) from Other Activities,Net Profit,EPS (Baht),ROA (%),ROE (%),Net Profit Margin (%),SymbolId,Period as of,Date
19758.94,5514.6,14186.55,5088.0,5086.59,184.95,1087.95,0.11,9.02,10.73,21.38,374,9M/2022 ,2022-09-30
96164.03,73849.0,21758.49,250.0,15173.06,402.15,3122.19,12.49,7.55,19.94,21.26,609,9M/2023 ,2022-11-30
48278.84,24022.41,19177.37,1150.0,5873.96,102.49,1555.73,1.35,9.6,12.7,39.3,225,9M/2022 ,2022-09-30
63663.7,28090.11,35592.22,3145.9,29842.11,948.99,4722.5,1.5,11.41,17.05,15.82,228,9M/2022 ,2022-09-30
143376.25,61944.04,81432.21,32000.77,6101.35,3617.88,2448.01,0.08,3.84,4.28,40.12,232,9M/2022 ,2022-09-30
128974.24,86148.34,42825.90,16160.21,9308.29,-,1858.30,0.57,4.70,6.73,19.96,610,9M/2022 ,2022-09-30
478274.0,330343.1,111371.75,6766.11,192074.67,702.67,40797.23,6.03,20.82,49.04,27.61,380,9M/2022 ,2022-09-30
4437758.79,3925824.75,510071.65,19088.43,131278.16,6441.84,21736.13,11.39,1.6,5.63,16.84,611,9M/2022 ,2022-09-30
22499.85,9246.45,12189.41,2493.75,16118.03,1.4,2769.22,1.11,30.75,46.15,17.87,473,9M/2022 ,2022-09-30
227862.62,144435.22,62858.7,1376.92,228895.07,-4298.1,12102.6,8.64,15.76,24.11,6.07,382,9M/2022 ,2022-09-30
57050.05,27536.31,29443.83,14479.82,4221.52,2042.85,2334.13,0.81,6.99,9.35,55.32,383,9M/2022 ,2022-09-30
133874.54,43585.53,86039.73,1589.2,69181.36,31.44,9492.79,0.6,12.64,14.55,14.5,474,9M/2022 ,2022-09-30
9712.39,3606.68,6105.68,2000.0,3924.61,-0.15,458.17,0.23,10.97,12.55,11.67,497,9M/2022 ,2022-09-30
116470.84,78708.01,37761.22,15285.00,10808.44,-,1833.00,0.12,4.28,5.89,16.96,544,9M/2022 ,2022-09-30
174760.7,130937.14,31509.87,5213.8,48557.53,261.11,-699.2,-0.38,3.42,-1.65,-1.46,384,9M/2022 ,2022-09-30
22360.02,3958.16,18076.29,795.77,14870.63,6.53,3392.33,4.27,21.98,23.08,23.02,475,9M/2022 ,2022-09-30
344516.72,303004.62,41511.82,1707.57,36613.26,-,2932.19,1.72,1.09,7.21,8.01,612,9M/2022 ,2022-09-30
257741.9,170659.27,61235.59,52670.55,11193.31,96.68,1010.07,0.08,3.12,4.76,9.07,546,6M/2023 ,2022-09-30
19934.64,9758.63,10281.93,1000.00,14891.86,-,1877.99,1.88,15.58,25.05,12.38,21,9M/2022 ,2022-09-30
48487.28,29656.16,18451.02,1350.0,12713.74,-66.35,-99.69,-0.07,1.65,0.29,-0.74,527,9M/2022 ,2022-09-30
10741.19,3146.09,7257.05,1100.00,8595.08,-,2493.11,0.23,53.29,66.17,29.80,476,9M/2022 ,2022-09-30
82788.44,57722.36,24630.08,1693.9,15293.65,1323.19,992.33,0.6,3.06,4.34,6.54,348,9M/2022 ,2022-09-30
69627.39,32618.61,25598.65,8129.38,8736.68,2021.5,2364.39,0.29,5.86,9.93,31.4,387,9M/2022 ,2022-09-30
19603.54,13182.40,6344.54,600.00,44182.17,-,2127.95,0.89,24.51,56.63,4.83,444,9M/2022 ,2022-09-30
899547.49,612088.98,98626.36,8983.1,627194.78,416.18,10133.98,1.05,5.08,17.3,1.94,445,9M/2022 ,2022-09-30
932852.04,630606.21,257668.08,8611.24,458427.33,5984.79,12157.91,1.48,4.97,8.08,2.74,26,9M/2022 ,2022-09-30
269849.21,182798.88,78950.38,2244.0,27717.53,1125.56,7953.81,1.77,5.38,13.0,29.01,239,9M/2022 ,2022-09-30
270999.63,204233.45,63900.4,6031.0,171098.03,510.67,3863.81,0.64,4.29,10.47,2.45,447,9M/2022 ,2022-09-30
32459.70,20792.21,11667.49,2906.74,23829.95,-,825.22,0.28,5.97,10.43,3.46,449,9M/2022 ,2022-09-30
95663.29,56818.05,36575.24,373.0,17877.42,136.7,5432.04,1.46,9.33,21.73,28.55,390,9M/2022 ,2022-09-30
273054.45,142490.59,130223.78,5264.65,44200.77,8374.63,2946.45,5.6,6.42,3.19,6.6,393,9M/2022 ,2022-09-30
19832.5,7836.06,11968.05,2800.0,6139.65,161.75,614.54,0.22,8.51,11.52,10.02,209,6M/2023 ,2022-09-30
95817.1,67035.62,28774.05,17075.18,199380.76,234.13,11071.7,3.2,18.29,50.3,5.55,395,9M/2022 ,2022-09-30
10541.43,7503.03,1930.06,480.0,7183.35,14.23,618.58,0.66,14.67,46.87,11.52,583,9M/2022 ,2022-09-30
40561.65,18877.54,21355.93,4801.74,27571.49,90.86,2959.57,0.62,12.42,18.46,10.79,452,9M/2022 ,2022-09-30
292860.36,175721.72,107286.96,28197.29,90728.05,944.09,1327.86,0.47,2.52,2.35,1.75,397,9M/2022 ,2022-09-30
421620.77,299210.19,106843.21,11733.15,67470.34,1090.97,6011.92,0.51,4.91,9.24,9.82,399,9M/2022 ,2022-09-30
33585.35,18890.0,14627.54,2220.63,5963.77,2305.43,2821.13,0.32,12.07,24.22,47.36,400,9M/2022 ,2022-09-30
30176.03,6378.19,23797.84,804.88,20380.93,-609.56,1026.59,1.28,3.6,4.07,5.04,568,9M/2022 ,2022-09-30
62418.64,39822.19,22596.44,13151.20,50921.57,-,4564.35,0.35,13.88,29.05,8.96,453,9M/2022 ,2022-09-30
51093.15,7588.63,37633.29,3206.69,2374.21,7809.57,7651.64,2.39,20.63,27.13,334.32,588,9M/2022 ,2022-09-30
714864.22,485384.83,211663.02,5614.55,519943.98,1100.51,42484.87,7.47,11.48,26.07,8.89,151,9M/2022 ,2022-09-30
45920.28,17579.55,16826.62,1426.18,10824.34,432.93,1278.02,0.9,12.6,26.35,16.89,592,9M/2022 ,2022-09-30
28725.28,6128.72,22523.39,729.56,3303.42,35.3,1255.8,0.88,9.0,11.18,36.17,613,9M/2022 ,2022-09-30
4229795.37,3672186.88,500247.56,23693.28,198404.22,270.26,32578.69,13.43,1.71,8.81,16.79,614,9M/2022 ,2022-09-30
13248.75,5885.52,7359.41,871.29,13056.84,-,-1898.09,-1.09,-20.40,-29.15,-14.65,551,9M/2022 ,2022-09-30
526758.26,473092.16,53566.78,8467.51,22709.9,694.89,6172.05,7.29,3.06,15.99,27.23,615,9M/2022 ,2022-09-30
3691704.43,3314320.3,361946.01,72005.04,108179.63,4743.54,25588.55,1.83,1.77,8.53,26.14,616,9M/2022 ,2022-09-30
93961.54,64046.72,29671.73,2578.33,16978.33,7.11,5413.54,2.1,10.77,24.13,31.86,617,9M/2022 ,2022-09-30
123574.99,73257.89,49615.17,11949.71,26396.43,3417.59,6319.56,0.53,9.04,17.08,23.95,248,9M/2022 ,2022-09-30
14145.59,7482.14,6523.96,894.67,4820.08,108.48,175.98,0.2,3.22,3.81,3.9,503,9M/2022 ,2022-09-30
14074.08,5544.49,8529.5,435.94,11864.91,2.51,1841.78,2.11,20.29,29.23,15.51,461,9M/2022 ,2022-09-30
370265.42,286182.56,72337.09,5274.99,88174.54,1708.85,2375.71,0.25,2.44,1.3,2.73,40,9M/2022 ,2022-09-30
123219.78,95205.98,28013.80,2120.00,14457.72,-,3961.46,1.87,8.31,19.56,27.40,618,9M/2022 ,2022-09-30
9294.95,2306.15,6988.62,4762.5,4780.54,1.18,593.32,0.25,11.8,16.45,12.41,510,9M/2022 ,2022-09-30
225338.22,119986.37,105292.13,120000.0,586113.25,541.02,11113.91,0.93,8.74,13.33,1.9,408,9M/2022 ,2022-09-30
42337.52,24725.58,16292.14,1227.06,10626.98,1171.64,2741.16,1.12,13.49,24.64,28.75,258,9M/2022 ,2022-09-30
25717.05,7720.26,18004.24,3003.75,21011.36,252.42,1597.21,0.53,11.66,13.2,7.5,44,9M/2022 ,2022-09-30
15457.79,7156.94,7988.40,427.93,4642.13,-,462.10,0.11,7.05,9.30,10.19,511,9M/2022 ,2022-09-30
27226.83,8981.81,18244.97,1559.29,7472.35,18.66,4301.61,2.76,25.41,38.17,57.57,559,9M/2022 ,2022-09-30
45408.53,36701.41,8589.45,1670.0,130708.12,-115.97,937.71,0.56,5.11,10.16,0.73,411,9M/2022 ,2022-09-30
3569750.77,1992356.68,1075094.18,28563.0,2583490.89,-92968.31,73302.85,2.57,8.13,9.82,3.91,412,9M/2022 ,2022-09-30
935677.6,440572.63,495104.97,3969.99,243253.6,-6919.49,55290.75,14.01,16.62,14.58,22.73,413,9M/2022 ,2022-09-30
742464.19,440358.13,292678.99,45088.49,559731.67,-24774.49,-7784.25,-1.73,0.81,-1.5,-1.19,155,9M/2022 ,2022-09-30
44166.37,17080.7,27085.67,10714.38,6876.88,1169.34,1740.11,0.16,6.2,8.35,25.3,268,9M/2022 ,2022-09-30
203248.64,87490.67,106912.71,21750.0,56233.31,5669.39,6023.68,3.29,7.14,9.31,10.51,415,9M/2022 ,2022-09-30
5112.2,763.66,4325.57,2000.0,2962.08,33.02,388.29,0.19,12.64,11.63,13.35,49,9M/2022 ,2022-09-30
62217.36,13139.8,49073.74,828.75,42402.03,963.9,22008.77,26.56,66.46,88.35,51.92,560,9M/2022 ,2022-09-30
64010.86,36292.14,24472.69,1373.15,8544.11,33.41,3263.19,2.38,11.67,18.35,41.05,619,9M/2022 ,2022-09-30
3440920.2,2978039.06,457130.65,33671.07,130289.64,7412.74,30403.41,8.99,2.1,8.89,23.13,620,9M/2022 ,2022-09-30
929930.77,450856.38,395533.3,1200.0,457360.22,8832.26,21225.12,17.69,4.67,7.83,4.29,213,9M/2022 ,2022-09-30
208227.45,78981.42,101813.25,4292.92,113538.69,617.02,5351.19,1.25,5.77,7.58,5.63,167,9M/2022 ,2022-09-30
22888.85,7860.97,15027.88,819.74,3973.1,4.46,741.87,0.91,9.39,10.12,18.67,468,9M/2022 ,2022-09-30
79646.07,34234.2,44495.49,2143.08,25454.54,225.03,6001.78,3.08,15.24,21.23,23.92,279,9M/2022 ,2022-09-30
75430.15,32885.78,42544.37,30004.44,219604.25,-1017.26,7413.64,1.71,17.88,24.54,3.38,424,9M/2022 ,2022-09-30
116606.94,47870.92,50721.45,1536.0,85699.29,771.86,3807.03,2.48,7.92,11.13,5.29,7,9M/2022 ,2022-09-30
47096.41,38362.3,8631.14,11906.4,21877.25,25.19,2216.47,0.19,12.57,43.28,10.21,141,9M/2022 ,2022-09-30
49848.3,30603.79,18950.07,1525.11,22006.03,36.1,543.17,0.36,2.43,5.28,2.5,360,9M/2022 ,2022-09-30
49511.28,12211.95,37299.33,1432.59,18817.86,-98.14,1690.43,0.59,7.85,9.15,8.98,108,9M/2022 ,2022-09-30
85066.66,63393.85,19914.18,2734.95,7121.44,-216.81,685.95,0.03,4.54,5.07,10.29,426,9M/2022 ,2022-09-30
13432.04,9525.15,3898.69,847.36,29697.46,113.47,630.0,0.74,9.62,23.95,2.09,604,9M/2022 ,2022-09-30
27868.89,10991.36,16311.88,1578.36,23396.52,-396.62,1312.62,0.83,9.86,11.9,5.63,218,9M/2022 ,2022-09-30
160272.15,84036.29,66922.88,11456.63,11371.04,2661.79,4133.88,3.94,6.29,9.06,45.22,621,9M/2022 ,2022-09-30
53821.59,41817.71,12003.87,5663.03,3312.12,-,1399.94,0.25,6.24,16.04,42.27,622,9M/2022 ,2022-09-30
79113.96,54514.03,24599.93,9240.14,10907.24,-,2822.86,1.17,8.02,15.66,25.88,623,9M/2022 ,2022-09-30
53015.51,44317.32,8578.98,594.29,11129.92,-,772.55,1.30,2.43,10.96,7.05,624,9M/2022 ,2022-09-30
255937.92,214912.35,41022.05,8006.56,15264.12,75.88,5417.35,6.77,4.41,17.93,35.49,625,9M/2022 ,2022-09-30
4419.32,1574.64,2289.53,300.0,2747.79,1.23,599.41,1.0,26.29,35.75,23.41,626,9M/2022 ,2022-09-30
621126.74,546281.94,74376.02,133472.78,104844.88,2704.96,-5135.42,-0.15,2.38,-6.52,-4.97,607,9M/2022 ,2022-09-30
45660.2,15942.21,26291.75,1822.47,22901.99,136.76,3463.23,1.9,13.72,21.55,14.93,564,9M/2022 ,2022-09-30
1823533.42,1608839.13,214693.16,91852.95,59454.06,1499.97,10347.87,0.11,1.67,6.22,17.4,627,9M/2022 ,2022-09-30
178920.45,115278.45,60875.54,1192.95,116663.96,425.86,5899.84,1.22,5.45,13.29,5.16,65,9M/2022 ,2022-09-30
33350.58,2792.67,27798.61,1119.45,2818.69,-152.36,93.06,0.01,-0.21,-0.13,-2.17,517,6M/2023 ,2022-09-30
84798.53,51065.01,30138.89,1494.68,6789.75,-219.76,1204.27,0.08,6.48,10.98,20.33,281,9M/2022 ,2022-09-30
