,0,1
310,MODERN,MODERNFORM GROUP PUBLIC COMPANY LIMITED
311,MONO,MONO NEXT PUBLIC COMPANY LIMITED
312,MOSHI,Moshi Moshi Retail Corporation Public Company Limited
313,MPIC,M PICTURES ENTERTAINMENT PUBLIC COMPANY LIMITED
314,MSC,METRO SYSTEMS CORPORATION PUBLIC COMPANY LIMITED
315,MTC,MUANGTHAI CAPITAL PUBLIC COMPANY LIMITED
316,NATION,NATION GROUP (THAILAND) PUBLIC COMPANY LIMITED
317,NC,NEWCITY (BANGKOK) PUBLIC COMPANY LIMITED
318,NCH,N. C. HOUSING PUBLIC COMPANY LIMITED
319,NEP,NEP REALTY AND INDUSTRY PUBLIC COMPANY LIMITED
320,NER,NORTH EAST RUBBER PUBLIC COMPANY LIMITED
321,NEW,WATTANA KARNPAET PUBLIC COMPANY LIMITED
322,NEX,NEX POINT PUBLIC COMPANY LIMITED
323,NFC,NFC PUBLIC COMPANY LIMITED
324,NNCL,NAVANAKORN PUBLIC COMPANY LIMITED
325,NOBLE,NOBLE DEVELOPMENT PUBLIC COMPANY LIMITED
326,NOK,NOK AIRLINES PUBLIC COMPANY LIMITED
327,NOVA,NOVA EMPIRE PUBLIC COMPANY LIMITED
328,NRF,NR INSTANT PRODUCE PUBLIC COMPANY LIMITED
329,NSL,NSL FOODS PUBLIC COMPANY LIMITED
330,NTV,NONTHAVEJ HOSPITAL PUBLIC COMPANY LIMITED
331,NUSA,NUSASIRI PUBLIC COMPANY LIMITED
332,NV,NOVA ORGANIC PUBLIC COMPANY LIMITED
333,NVD,NIRVANA DAII PUBLIC COMPANY LIMITED
334,NWR,NAWARAT PATANAKARN PUBLIC COMPANY LIMITED
335,NYT,NAMYONG TERMINAL PUBLIC COMPANY LIMITED
336,OCC,O.C.C. PUBLIC COMPANY LIMITED
337,OGC,OCEAN GLASS PUBLIC COMPANY LIMITED
338,OHTL,OHTL PUBLIC COMPANY LIMITED
339,OISHI,OISHI GROUP PUBLIC COMPANY LIMITED
340,ONEE,THE ONE ENTERPRISE PUBLIC COMPANY LIMITED
341,OR,PTT OIL AND RETAIL BUSINESS PUBLIC COMPANY LIMITED
342,ORI,ORIGIN PROPERTY PUBLIC COMPANY LIMITED
343,OSP,OSOTSPA PUBLIC COMPANY LIMITED
344,PACE,PACE DEVELOPMENT CORPORATION PUBLIC COMPANY LIMITED
345,PAF,PAN ASIA FOOTWEAR PUBLIC COMPANY LIMITED
346,PAP,PACIFIC PIPE PUBLIC COMPANY LIMITED
347,PATO,PATO CHEMICAL INDUSTRY PUBLIC COMPANY LIMITED
348,PB,PRESIDENT BAKERY PUBLIC COMPANY LIMITED
349,PCC,Precise Corporation Public Company Limited
350,PCSGH,P.C.S. MACHINE GROUP HOLDING PUBLIC COMPANY LIMITED
351,PDJ,PRANDA JEWELRY PUBLIC COMPANY LIMITED
352,PEACE,PEACE & LIVING PUBLIC COMPANY LIMITED
353,PERM,PERMSIN STEEL WORKS PUBLIC COMPANY LIMITED
354,PF,PROPERTY PERFECT PUBLIC COMPANY LIMITED
355,PG,PEOPLE'S GARMENT PUBLIC COMPANY LIMITED
356,PIN,PINTHONG INDUSTRIAL PARK PUBLIC COMPANY LIMITED
357,PK,PATKOL PUBLIC COMPANY LIMITED
358,PLANB,PLAN B MEDIA PUBLIC COMPANY LIMITED
359,PLAT,THE PLATINUM GROUP PUBLIC COMPANY LIMITED
360,PLE,POWER LINE ENGINEERING PUBLIC COMPANY LIMITED
361,PLUS,Royal Plus Public Company Limited
362,PM,PREMIER MARKETING PUBLIC COMPANY LIMITED
363,PMTA,PM THORESEN ASIA HOLDINGS PUBLIC COMPANY LIMITED
364,POLAR,POLARIS CAPITAL PUBLIC COMPANY LIMITED
365,POLY,Polynet Public Company Limited
366,POPF,PRIME OFFICE LEASEHOLD PROPERTY FUND
367,PORT,SAHATHAI TERMINAL PUBLIC COMPANY LIMITED
368,POST,BANGKOK POST PUBLIC COMPANY LIMITED
369,PPF,PINTHONG INDUSTRIAL PARK PROPERTY FUND
370,PPP,PREMIER PRODUCTS PUBLIC COMPANY LIMITED
371,PPPM,PP PRIME PUBLIC COMPANY LIMITED
372,PR9,PRARAM 9 HOSPITAL PUBLIC COMPANY LIMITED
373,PRAKIT,PRAKIT HOLDINGS PUBLIC COMPANY LIMITED
374,PREB,PRE-BUILT PUBLIC COMPANY LIMITED
375,PRECHA,PREECHA GROUP PUBLIC COMPANY LIMITED
376,PRG,PRG CORPORATION PUBLIC COMPANY LIMITED
377,PRIME,PRIME ROAD POWER PUBLIC COMPANY LIMITED
378,PRIN,PRINSIRI PUBLIC COMPANY LIMITED
379,PRINC,PRINCIPAL CAPITAL PUBLIC COMPANY LIMITED
380,PRM,PRIMA MARINE PUBLIC COMPANY LIMITED
381,PRO,PROFESSIONAL WASTE TECHNOLOGY (1999) PUBLIC COMPANY LIMITED
382,PROSPECT,PROSPECT LOGISTICS AND INDUSTRIAL FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST
383,PSH,PRUKSA HOLDING PUBLIC COMPANY LIMITED
384,PSL,PRECIOUS SHIPPING PUBLIC COMPANY LIMITED
385,PT,PREMIER TECHNOLOGY PUBLIC COMPANY LIMITED
386,PTECH,PLUS TECH INNOVATION PUBLIC COMPANY LIMITED
387,PTG,PTG ENERGY PUBLIC COMPANY LIMITED
388,PTL,POLYPLEX (THAILAND) PUBLIC COMPANY LIMITED
389,PTT,PTT PUBLIC COMPANY LIMITED
390,PTTEP,PTT EXPLORATION AND PRODUCTION PUBLIC COMPANY LIMITED
391,PTTGC,PTT GLOBAL CHEMICAL PUBLIC COMPANY LIMITED
392,PYLON,PYLON PUBLIC COMPANY LIMITED
393,Q-CON,QUALITY CONSTRUCTION PRODUCTS PUBLIC COMPANY LIMITED
394,QH,QUALITY HOUSES PUBLIC COMPANY LIMITED
395,QHHR,QUALITY HOUSES HOTEL AND RESIDENCE FREEHOLD AND LEASEHOLD PROPERTY FUND
396,QHOP,QUALITY HOSPITALITY LEASEHOLD PROPERTY FUND
397,QHPF,QUALITY HOUSES LEASEHOLD PROPERTY FUND
398,QTC,QTC ENERGY PUBLIC COMPANY LIMITED
399,RABBIT,RABBIT HOLDINGS PUBLIC COMPANY LIMITED
400,RAM,RAMKHAMHAENG HOSPITAL PUBLIC COMPANY LIMITED
401,RATCH,RATCH GROUP PUBLIC COMPANY LIMITED
402,RBF,R&B FOOD SUPPLY PUBLIC COMPANY LIMITED
403,RCL,REGIONAL CONTAINER LINES PUBLIC COMPANY LIMITED
404,RICHY,RICHY PLACE 2002 PUBLIC COMPANY LIMITED
405,RJH,RAJTHANEE HOSPITAL PUBLIC COMPANY LIMITED
406,RML,RAIMON LAND PUBLIC COMPANY LIMITED
407,ROCK,ROCKWORTH PUBLIC COMPANY LIMITED
408,ROH,ROYAL ORCHID HOTEL (THAILAND) PUBLIC COMPANY LIMITED
409,ROJNA,ROJANA INDUSTRIAL PARK PUBLIC COMPANY LIMITED
410,RPC,RPCG PUBLIC COMPANY LIMITED
411,RPH,RATCHAPHRUEK HOSPITAL PUBLIC COMPANY LIMITED
412,RS,RS PUBLIC COMPANY LIMITED
413,RSP,RICH SPORT PUBLIC COMPANY LIMITED
414,RT,RIGHT TUNNELLING PUBLIC COMPANY LIMITED
415,S,SINGHA ESTATE PUBLIC COMPANY LIMITED
416,S&J,S & J INTERNATIONAL ENTERPRISES PUBLIC COMPANY LIMITED
417,SA,SIAMESE ASSET PUBLIC COMPANY LIMITED
418,SABINA,SABINA PUBLIC COMPANY LIMITED
419,SABUY,SABUY TECHNOLOGY PUBLIC COMPANY LIMITED
420,SAM,SAMCHAI STEEL INDUSTRIES PUBLIC COMPANY LIMITED
421,SAMART,SAMART CORPORATION PUBLIC COMPANY LIMITED
422,SAMCO,SAMMAKORN PUBLIC COMPANY LIMITED
423,SAMTEL,SAMART TELCOMS PUBLIC COMPANY LIMITED
424,SAPPE,SAPPE PUBLIC COMPANY LIMITED
425,SAT,SOMBOON ADVANCE TECHNOLOGY PUBLIC COMPANY LIMITED
426,SAUCE,THAITHEPAROS PUBLIC COMPANY LIMITED
427,SAWAD,SRISAWAD CORPORATION PUBLIC COMPANY LIMITED
428,SAWANG,SAWANG EXPORT PUBLIC COMPANY LIMITED
429,SC,SC ASSET CORPORATION PUBLIC COMPANY LIMITED
430,SCB,SCB X PUBLIC COMPANY LIMITED
431,SCC,THE SIAM CEMENT PUBLIC COMPANY LIMITED
432,SCCC,SIAM CITY CEMENT PUBLIC COMPANY LIMITED
433,SCG,SAHACOGEN (CHONBURI) PUBLIC COMPANY LIMITED
434,SCGP,SCG PACKAGING PUBLIC COMPANY LIMITED
435,SCI,SCI ELECTRIC PUBLIC COMPANY LIMITED
436,SCM,SUCCESSMORE BEING PUBLIC COMPANY LIMITED
437,SCN,SCAN INTER PUBLIC COMPANY LIMITED
438,SCP,SOUTHERN CONCRETE PILE PUBLIC COMPANY LIMITED
439,SDC,SAMART DIGITAL PUBLIC COMPANY LIMITED
440,SE-ED,SE-EDUCATION PUBLIC COMPANY LIMITED
441,SEAFCO,SEAFCO PUBLIC COMPANY LIMITED
442,SENA,SENADEVELOPMENT PUBLIC COMPANY LIMITED
443,SFLEX,STARFLEX PUBLIC COMPANY LIMITED
444,SFP,SIAM FOOD PRODUCTS PUBLIC COMPANY LIMITED
445,SGP,SIAMGAS AND PETROCHEMICALS PUBLIC COMPANY LIMITED
446,SHANG,SHANGRI-LA HOTEL PUBLIC COMPANY LIMITED
447,SHR,S HOTELS AND RESORTS PUBLIC COMPANY LIMITED
448,SHREIT,STRATEGIC HOSPITALITY EXTENDABLE FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST
449,SIAM,SIAM STEEL INTERNATIONAL PUBLIC COMPANY LIMITED
450,SINGER,SINGER THAILAND PUBLIC COMPANY LIMITED
451,SIRI,SANSIRI PUBLIC COMPANY LIMITED
452,SIRIP,SIRI PRIME OFFICE PROPERTY FUND
453,SIS,SIS DISTRIBUTION (THAILAND) PUBLIC COMPANY LIMITED
454,SISB,SISB PUBLIC COMPANY LIMITED
455,SITHAI,SRITHAI SUPERWARE PUBLIC COMPANY LIMITED
456,SKE,SAKOL ENERGY PUBLIC COMPANY LIMITED
457,SKN,S.KIJCHAI ENTERPRISE PUBLIC COMPANY LIMITED
458,SKR,SIKARIN PUBLIC COMPANY LIMITED
459,SKY,SKY ICT PUBLIC COMPANY LIMITED
460,SLP,SALEE PRINTING PUBLIC COMPANY LIMITED
461,SMIT,SAHAMIT MACHINERY PUBLIC COMPANY LIMITED
462,SMPC,SAHAMITR PRESSURE CONTAINER PUBLIC COMPANY LIMITED
463,SMT,STARS MICROELECTRONICS (THAILAND) PUBLIC COMPANY LIMITED
464,SNC,SNC FORMER PUBLIC COMPANY LIMITED
465,SNNP,SRINANAPORN MARKETING PUBLIC COMPANY LIMITED
466,SNP,S & P SYNDICATE PUBLIC COMPANY LIMITED
467,SO,SIAMRAJATHANEE PUBLIC COMPANY LIMITED
468,SOLAR,SOLARTRON PUBLIC COMPANY LIMITED
469,SORKON,S. KHONKAEN FOODS PUBLIC COMPANY LIMITED
470,SPACK,S. PACK & PRINT PUBLIC COMPANY LIMITED
471,SPALI,SUPALAI PUBLIC COMPANY LIMITED
472,SPC,SAHA PATHANAPIBUL PUBLIC COMPANY LIMITED
473,SPCG,SPCG PUBLIC COMPANY LIMITED
474,SPG,THE SIAM PAN GROUP PUBLIC COMPANY LIMITED
475,SPI,SAHA PATHANA INTER-HOLDING PUBLIC COMPANY LIMITED
476,SPRC,STAR PETROLEUM REFINING PUBLIC COMPANY LIMITED
477,SPRIME,S PRIME GROWTH LEASEHOLD REAL ESTATE INVESTMENT TRUST
478,SQ,SAHAKOL EQUIPMENT PUBLIC COMPANY LIMITED
479,SRICHA,SRIRACHA CONSTRUCTION PUBLIC COMPANY LIMITED
480,SRIPANWA,SRI PANWA HOSPITALITY REAL ESTATE INVESTMENT TRUST
481,SSC,SERMSUK PUBLIC COMPANY LIMITED
482,SSF,SURAPON FOODS PUBLIC COMPANY LIMITED
483,SSP,SERMSANG POWER CORPORATION PUBLIC COMPANY LIMITED
484,SSPF,SALA @ SATHORN PROPERTY FUND
485,SSSC,SIAM STEEL SERVICE CENTER PUBLIC COMPANY LIMITED
486,SST,SUB SRI THAI PUBLIC COMPANY LIMITED
487,SSTRT,SUB SRI THAI REAL ESTATE INVESTMENT TRUST
488,STA,SRI TRANG AGRO-INDUSTRY PUBLIC COMPANY LIMITED
489,STANLY,THAI STANLEY ELECTRIC PUBLIC COMPANY LIMITED
490,STARK,STARK CORPORATION PUBLIC COMPANY LIMITED
491,STEC,"SINO-THAI ENGINEERING AND CONSTRUCTION PUBLIC CO.,LTD."
492,STECH,SIAM TECHNIC CONCRETE PUBLIC COMPANY LIMITED
493,STGT,SRI TRANG GLOVES (THAILAND) PUBLIC COMPANY LIMITED
494,STHAI,"SHUN THAI RUBBER GLOVES INDUSTRY PUBLIC CO., LTD"
495,STI,STONEHENGE INTER PUBLIC COMPANY LIMITED
496,STPI,STP&I PUBLIC COMPANY LIMITED
497,SUC,SAHA-UNION PUBLIC COMPANY LIMITED
498,SUN,SUNSWEET PUBLIC COMPANY LIMITED
499,SUPER,SUPER ENERGY CORPORATION PUBLIC COMPANY LIMITED
500,SUPEREIF,SUPER ENERGY POWER PLANT INFRASTRUCTURE FUND
501,SUSCO,SUSCO PUBLIC COMPANY LIMITED
502,SUTHA,GOLDEN LIME PUBLIC COMPANY LIMITED
503,SVI,SVI PUBLIC COMPANY LIMITED
504,SVOA,SVOA PUBLIC COMPANY LIMITED
505,SVT,SUN VENDING TECHNOLOGY PUBLIC COMPANY LIMITED
506,SYMC,SYMPHONY COMMUNICATION PUBLIC COMPANY LIMITED
507,SYNEX,SYNNEX (THAILAND) PUBLIC COMPANY LIMITED
508,SYNTEC,SYNTEC CONSTRUCTION PUBLIC COMPANY LIMITED
509,TAE,THAI AGRO ENERGY PUBLIC COMPANY LIMITED
510,TASCO,TIPCO ASPHALT PUBLIC COMPANY LIMITED
511,TC,TROPICAL CANNING (THAILAND) PUBLIC COMPANY LIMITED
512,TCAP,THANACHART CAPITAL PUBLIC COMPANY LIMITED
513,TCC,THAI CAPITAL CORPORATION PUBLIC COMPANY LIMITED
514,TCCC,THAI CENTRAL CHEMICAL PUBLIC COMPANY LIMITED
515,TCJ,T.C.J. ASIA PUBLIC COMPANY LIMITED
516,TCMC,TCM CORPORATION PUBLIC COMPANY LIMITED
517,TCOAT,THAI COATING INDUSTRIAL PUBLIC COMPANY LIMITED
518,TEAM,TEAM PRECISION PUBLIC COMPANY LIMITED
519,TEAMG,TEAM CONSULTING ENGINEERING AND MANAGEMENT PUBLIC COMPANY LIMITED
520,TEGH,Thai Eastern Group Holdings Public Company Limited
521,TEKA,TEKA CONSTRUCTION PUBLIC COMPANY LIMITED
522,TFFIF,THAILAND FUTURE FUND
523,TFG,THAIFOODS GROUP PUBLIC COMPANY LIMITED
524,TFI,THAI FILM INDUSTRIES PUBLIC COMPANY LIMITED
525,TFM,THAI UNION FEEDMILL PUBLIC COMPANY LIMITED
526,TFMAMA,THAI PRESIDENT FOODS PUBLIC COMPANY LIMITED
527,TGE,THACHANG GREEN ENERGY PUBLIC COMPANY LIMITED
528,TGPRO,THAI-GERMAN PRODUCTS PUBLIC COMPANY LIMITED
529,THAI,THAI AIRWAYS INTERNATIONAL PUBLIC COMPANY LIMITED
530,THANI,RATCHTHANI LEASING PUBLIC COMPANY LIMITED
531,THCOM,THAICOM PUBLIC COMPANY LIMITED
532,THE,THE STEEL PUBLIC COMPANY LIMITED
533,THG,THONBURI HEALTHCARE GROUP PUBLIC COMPANY LIMITED
534,THIP,THANTAWAN INDUSTRY PUBLIC COMPANY LIMITED
535,THL,TONGKAH HARBOUR PUBLIC COMPANY LIMITED
536,TIDLOR,NGERN TID LOR PUBLIC COMPANY LIMITED
537,TIF1,THAI INDUSTRIAL FUND 1
538,TIPCO,TIPCO FOODS PUBLIC COMPANY LIMITED
539,TIPH,DHIPAYA GROUP HOLDINGS PUBLIC COMPANY LIMITED
540,TISCO,TISCO FINANCIAL GROUP PUBLIC COMPANY LIMITED
541,TKC,TURNKEY COMMUNICATION SERVICES PUBLIC COMPANY LIMITED
542,TKN,TAOKAENOI FOOD & MARKETING PUBLIC COMPANY LIMITED
543,TKS,T.K.S. TECHNOLOGIES PUBLIC COMPANY LIMITED
544,TKT,T.KRUNGTHAI INDUSTRIES PUBLIC COMPANY LIMITED
545,TLHPF,THAILAND HOSPITALITY PROPERTY FUND
546,TMD,THAI METAL DRUM MANUFACTURING PUBLIC COMPANY LIMITED
547,TMT,TMT STEEL PUBLIC COMPANY LIMITED
548,TNL,THANULUX PUBLIC COMPANY LIMITED
549,TNPC,THAI NAM PLASTIC PUBLIC COMPANY LIMITED
550,TNPF,TRINITY FREEHOLD AND LEASEHOLD PROPERTY FUND
551,TNR,THAI NIPPON RUBBER INDUSTRY PUBLIC COMPANY LIMITED
552,TOA,TOA PAINT (THAILAND) PUBLIC COMPANY LIMITED
553,TOG,THAI OPTICAL GROUP PUBLIC COMPANY LIMITED
554,TOP,THAI OIL PUBLIC COMPANY LIMITED
555,TOPP,THAI O.P.P. PUBLIC COMPANY LIMITED
556,TPA,THAI POLY ACRYLIC PUBLIC COMPANY LIMITED
557,TPAC,THAI PLASPAC PUBLIC COMPANY LIMITED
558,TPBI,TPBI PUBLIC COMPANY LIMITED
559,TPCS,TPCS PUBLIC COMPANY LIMITED
560,TPIPL,TPI POLENE PUBLIC COMPANY LIMITED
561,TPIPP,TPI POLENE POWER PUBLIC COMPANY LIMITED
562,TPOLY,THAI POLYCONS PUBLIC COMPANY LIMITED
563,TPP,THAI PACKAGING & PRINTING PUBLIC COMPANY LIMITED
564,TPRIME,THAILAND PRIME PROPERTY FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST
565,TQM,TQM ALPHA PUBLIC COMPANY LIMITED
566,TR,THAI RAYON PUBLIC COMPANY LIMITED
567,TRC,TRC CONSTRUCTION PUBLIC COMPANY LIMITED
568,TRITN,TRITON HOLDING PUBLIC COMPANY LIMITED
569,TRU,THAI RUNG UNION CAR PUBLIC COMPANY LIMITED
570,TRUBB,THAI RUBBER LATEX GROUP PUBLIC COMPANY LIMITED
571,TSC,THAI STEEL CABLE PUBLIC COMPANY LIMITED
572,TSE,THAI SOLAR ENERGY PUBLIC COMPANY LIMITED
573,TSR,THIENSURAT PUBLIC COMPANY LIMITED
574,TSTE,THAI SUGAR TERMINAL PUBLIC COMPANY LIMITED
575,TSTH,TATA STEEL (THAILAND) PUBLIC COMPANY LIMITED
576,TTA,THORESEN THAI AGENCIES PUBLIC COMPANY LIMITED
577,TTB,TMBTHANACHART BANK PUBLIC COMPANY LIMITED
578,TTCL,TTCL PUBLIC COMPANY LIMITED
579,TTI,THAI TEXTILE INDUSTRY PUBLIC COMPANY LIMITED
580,TTLPF,TALAAD THAI LEASEHOLD PROPERTY FUND
581,TTT,TORAY TEXTILES (THAILAND) PUBLIC COMPANY LIMITED
582,TTW,TTW PUBLIC COMPANY LIMITED
583,TU,THAI UNION GROUP PUBLIC COMPANY LIMITED
584,TU-PF,T.U. DOME RESIDENTIAL COMPLEX LEASEHOLD PROPERTY FUND
585,TVO,THAI VEGETABLE OIL PUBLIC COMPANY LIMITED
586,TWP,THAI WIRE PRODUCTS PUBLIC COMPANY LIMITED
587,TWPC,THAI WAH PUBLIC COMPANY LIMITED
588,TWZ,TWZ CORPORATION PUBLIC COMPANY LIMITED
589,TYCN,"TYCOONS WORLDWIDE GROUP (THAILAND) PUBLIC CO.,LTD."
590,UAC,UAC GLOBAL PUBLIC COMPANY LIMITED
591,UBE,UBON BIO ETHANOL PUBLIC COMPANY LIMITED
592,UMI,THE UNION MOSAIC INDUSTRY PUBLIC COMPANY LIMITED
593,UNIQ,UNIQUE ENGINEERING AND CONSTRUCTION PUBLIC COMPANY LIMITED
594,UP,UNION PLASTIC PUBLIC COMPANY LIMITED
595,UPF,UNION PIONEER PUBLIC COMPANY LIMITED
596,UPOIC,UNITED PALM OIL INDUSTRY PUBLIC COMPANY LIMITED
597,URBNPF,URBANA PROPERTY FUND (LEASE HOLD)
598,UTP,UNITED PAPER PUBLIC COMPANY LIMITED
599,UV,UNIVENTURES PUBLIC COMPANY LIMITED
600,UVAN,UNIVANICH PALM OIL PUBLIC COMPANY LIMITED
601,VARO,VAROPAKORN PUBLIC COMPANY LIMITED
602,VGI,VGI PUBLIC COMPANY LIMITED
603,VIBHA,VIBHAVADI MEDICAL CENTER PUBLIC COMPANY LIMITED
604,VIH,SRIVICHAIVEJVIVAT PUBLIC COMPANY LIMITED
605,VNG,VANACHAI GROUP PUBLIC COMPANY LIMITED
606,VPO,VICHITBHAN PALMOIL PUBLIC COMPANY LIMITED
607,VRANDA,VERANDA RESORT PUBLIC COMPANY LIMITED
608,W,WOW FACTOR PUBLIC COMPANY LIMITED
609,WACOAL,THAI WACOAL PUBLIC COMPANY LIMITED
610,WAVE,WAVE ENTERTAINMENT PUBLIC COMPANY LIMITED
611,WFX,WORLD FLEX PUBLIC COMPANY LIMITED
612,WGE,WELL GRADED ENGINEERING PUBLIC COMPANY LIMITED
613,WHA,WHA CORPORATION PUBLIC COMPANY LIMITED
614,WHABT,WHA BUSINESS COMPLEX FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST
615,WHAIR,WHA INDUSTRIAL LEASEHOLD REAL ESTATE INVESTMENT TRUST
616,WHART,WHA PREMIUM GROWTH FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST
617,WHAUP,WHA UTILITIES AND POWER PUBLIC COMPANY LIMITED
618,WICE,WICE LOGISTICS PUBLIC COMPANY LIMITED
619,WIIK,WIIK PUBLIC COMPANY LIMITED
620,WIN,WYNCOAST INDUSTRIAL PARK PUBLIC COMPANY LIMITED
621,WORK,WORKPOINT ENTERTAINMENT PUBLIC COMPANY LIMITED
622,WP,WP ENERGY PUBLIC COMPANY LIMITED
623,WPH,WATTANAPAT HOSPITAL TRANG PUBLIC COMPANY LIMITED
624,ZEN,ZEN CORPORATION GROUP PUBLIC COMPANY LIMITED
625,SJWD,SCGJWD LOGISTICS PUBLIC COMPANY LIMITED
