,Symbol,Company Name,Market,Industry Group,Sector,Factsheet (Click to clear sorting)
0,24CS,Twenty-Four Con & Supply Public Company Limited,mai,PROPCON,-,
1,2S,2S METAL PUBLIC COMPANY LIMITED,SET,INDUS,STEEL,
2,3K-BAT,THAI ENERGY STORAGE TECHNOLOGY PUBLIC COMPANY LIMITED,SET,INDUS,AUTO,
3,7UP,SEVEN UTILITIES AND POWER PUBLIC COMPANY LIMITED,SET,RESOURC,ENERG,
4,A,AREEYA PROPERTY PUBLIC COMPANY LIMITED,SET,PROPCON,PROP,
5,A5,ASSET FIVE GROUP PUBLIC COMPANY LIMITED,mai,PROPCON,-,
6,AAI,Asian Alliance International Public Company Limited,SET,AGRO,FOOD,
7,AAV,ASIA AVIATION PUBLIC COMPANY LIMITED,SET,SERVICE,TRANS,
8,ABM,ASIA BIOMASS PUBLIC COMPANY LIMITED,mai,RESOURC,-,
9,ACAP,ASIA CAPITAL GROUP PUBLIC COMPANY LIMITED,mai,FINCIAL,-,
10,ACC,ADVANCED CONNECTION CORPORATION PUBLIC COMPANY LIMITED,SET,RESOURC,ENERG,
11,ACE,ABSOLUTE CLEAN ENERGY PUBLIC COMPANY LIMITED,SET,RESOURC,ENERG,
12,ACG,AUTOCORP HOLDING PUBLIC COMPANY LIMITED,SET,INDUS,AUTO,
13,ADB,APPLIED DB PUBLIC COMPANY LIMITED,mai,INDUS,-,
14,ADD,ADDTECH HUB PUBLIC COMPANY LIMITED,mai,SERVICE,-,
15,ADVANC,ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED,SET,TECH,ICT,
16,AEONTS,AEON THANA SINSAP (THAILAND) PUBLIC COMPANY LIMITED,SET,FINCIAL,FIN,
17,AF,AIRA FACTORING PUBLIC COMPANY LIMITED,mai,FINCIAL,-,
18,AFC,ASIA FIBER PUBLIC COMPANY LIMITED,SET,CONSUMP,FASHION,
19,AGE,ASIA GREEN ENERGY PUBLIC COMPANY LIMITED,SET,RESOURC,ENERG,
20,AH,AAPICO HITECH PUBLIC COMPANY LIMITED,SET,INDUS,AUTO,
21,AHC,AIKCHOL HOSPITAL PUBLIC COMPANY LIMITED,SET,SERVICE,HELTH,
22,AI,ASIAN INSULATORS PUBLIC COMPANY LIMITED,SET,RESOURC,ENERG,
23,AIE,AI ENERGY PUBLIC COMPANY LIMITED,SET,RESOURC,ENERG,
24,AIMCG,AIM COMMERCIAL GROWTH FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,PROPCON,PF&REIT,
25,AIMIRT,AIM INDUSTRIAL GROWTH FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,PROPCON,PF&REIT,
26,AIRA,AIRA CAPITAL PUBLIC COMPANY LIMITED,mai,FINCIAL,-,
27,AIT,"ADVANCED INFORMATION TECHNOLOGY PUBLIC CO.,LTD.",SET,TECH,ICT,
28,AJ,A.J. PLAST PUBLIC COMPANY LIMITED,SET,INDUS,PKG,
29,AJA,AJ ADVANCE TECHNOLOGY PUBLIC COMPANY LIMITED,SET,CONSUMP,HOME,
30,AKP,AKKHIE PRAKARN PUBLIC COMPANY LIMITED,mai,SERVICE,-,
31,AKR,EKARAT ENGINEERING PUBLIC COMPANY LIMITED,SET,RESOURC,ENERG,
32,ALL,ALL INSPIRE DEVELOPMENT PUBLIC COMPANY LIMITED,mai,PROPCON,-,
33,ALLA,ALLA PUBLIC COMPANY LIMITED,SET,INDUS,IMM,
34,ALLY,ALLY LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,PROPCON,PF&REIT,
35,ALPHAX,ALPHA DIVISIONS PUBLIC COMPANY LIMITED,mai,CONSUMP,-,
36,ALT,ALT TELECOM PUBLIC COMPANY LIMITED,SET,TECH,ICT,
37,ALUCON,ALUCON PUBLIC COMPANY LIMITED,SET,INDUS,PKG,
38,AMA,AMA MARINE PUBLIC COMPANY LIMITED,mai,SERVICE,-,
39,AMANAH,AMANAH LEASING PUBLIC COMPANY LIMITED,SET,FINCIAL,FIN,
40,AMARC,ASIA MEDICAL AND AGRICULTURAL LABORATORY AND RESEARCH CENTER PUBLIC COMPANY LIMITED,mai,SERVICE,-,
41,AMARIN,AMARIN PRINTING AND PUBLISHING PUBLIC COMPANY LIMITED,SET,SERVICE,MEDIA,
42,AMATA,AMATA CORPORATION PUBLIC COMPANY LIMITED,SET,PROPCON,PROP,
43,AMATAR,AMATA SUMMIT GROWTH FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,PROPCON,PF&REIT,
44,AMATAV,AMATA VN PUBLIC COMPANY LIMITED,SET,PROPCON,PROP,
45,AMC,ASIA METAL PUBLIC COMPANY LIMITED,SET,INDUS,STEEL,
46,AMR,AMR ASIA PUBLIC COMPANY LIMITED,SET,TECH,ICT,
47,ANAN,ANANDA DEVELOPMENT PUBLIC COMPANY LIMITED,SET,PROPCON,PROP,
48,AOT,AIRPORTS OF THAILAND PUBLIC COMPANY LIMITED,SET,SERVICE,TRANS,
49,AP,AP (THAILAND) PUBLIC COMPANY LIMITED,SET,PROPCON,PROP,
50,APCO,ASIAN PHYTOCEUTICALS PUBLIC COMPANY LIMITED,SET,CONSUMP,PERSON,
51,APCS,ASIA PRECISION PUBLIC COMPANY LIMITED,SET,PROPCON,CONS,
52,APEX,APEX DEVELOPMENT PUBLIC COMPANY LIMITED,SET,PROPCON,PROP,
53,APP,APPLICAD PUBLIC COMPANY LIMITED,mai,TECH,-,
54,APURE,AGRIPURE HOLDINGS PUBLIC COMPANY LIMITED,SET,AGRO,FOOD,
55,AQ,AQ ESTATE PUBLIC COMPANY LIMITED,SET,PROPCON,PROP,
56,AQUA,AQUA CORPORATION PUBLIC COMPANY LIMITED,SET,SERVICE,MEDIA,
57,ARIN,ARINSIRI LAND PUBLIC COMPANY LIMITED,mai,PROPCON,-,
58,ARIP,ARIP PUBLIC COMPANY LIMITED,mai,SERVICE,-,
59,ARROW,ARROW SYNDICATE PUBLIC COMPANY LIMITED,mai,PROPCON,-,
60,AS,ASIASOFT CORPORATION PUBLIC COMPANY LIMITED,SET,SERVICE,MEDIA,
61,ASAP,SYNERGETIC AUTO PERFORMANCE PUBLIC COMPANY LIMITED,SET,FINCIAL,FIN,
62,ASEFA,ASEFA PUBLIC COMPANY LIMITED,SET,INDUS,IMM,
63,ASIA,ASIA HOTEL PUBLIC COMPANY LIMITED,SET,SERVICE,TOURISM,
64,ASIAN,ASIAN SEA CORPORATION PUBLIC COMPANY LIMITED,SET,AGRO,FOOD,
65,ASIMAR,ASIAN MARINE SERVICES PUBLIC COMPANY LIMITED,SET,SERVICE,TRANS,
66,ASK,ASIA SERMKIJ LEASING PUBLIC COMPANY LIMITED,SET,FINCIAL,FIN,
67,ASN,ASN BROKER PUBLIC COMPANY LIMITED,mai,FINCIAL,-,
68,ASP,ASIA PLUS GROUP HOLDINGS PUBLIC COMPANY LIMITED,SET,FINCIAL,FIN,
69,ASW,ASSETWISE PUBLIC COMPANY LIMITED,SET,PROPCON,PROP,
70,ATP30,ATP30 PUBLIC COMPANY LIMITED,mai,SERVICE,-,
71,AU,AFTER YOU PUBLIC COMPANY LIMITED,mai,AGRO,-,
72,AUCT,UNION AUCTION PUBLIC COMPANY LIMITED,mai,SERVICE,-,
73,AURA,Aurora Design Public Company Limited,SET,CONSUMP,FASHION,
74,AWC,ASSET WORLD CORP PUBLIC COMPANY LIMITED,SET,PROPCON,PROP,
75,AYUD,ALLIANZ AYUDHYA CAPITAL PUBLIC COMPANY LIMITED,SET,FINCIAL,INSUR,
76,B,BEGISTICS PUBLIC COMPANY LIMITED,SET,SERVICE,TRANS,
77,B52,B-52 CAPITAL PUBLIC COMPANY LIMITED,SET,SERVICE,COMM,
78,BA,BANGKOK AIRWAYS PUBLIC COMPANY LIMITED,SET,SERVICE,TRANS,
79,BAFS,BANGKOK AVIATION FUEL SERVICES PCL.,SET,RESOURC,ENERG,
80,BAM,BANGKOK COMMERCIAL ASSET MANAGEMENT PUBLIC COMPANY LIMITED,SET,FINCIAL,FIN,
81,BANPU,BANPU PUBLIC COMPANY LIMITED,SET,RESOURC,ENERG,
82,BAREIT,BA Airport Leasehold Real Estate Investment Trust,SET,PROPCON,PF&REIT,
83,BAY,BANK OF AYUDHYA PUBLIC COMPANY LIMITED,SET,FINCIAL,BANK,
84,BBGI,BBGI PUBLIC COMPANY LIMITED,SET,RESOURC,ENERG,
85,BBIK,BLUEBIK GROUP PUBLIC COMPANY LIMITED,mai,TECH,-,
86,BBL,BANGKOK BANK PUBLIC COMPANY LIMITED,SET,FINCIAL,BANK,
87,BC,BOUTIQUE CORPORATION PUBLIC COMPANY LIMITED,mai,PROPCON,-,
88,BCH,BANGKOK CHAIN HOSPITAL PUBLIC COMPANY LIMITED,SET,SERVICE,HELTH,
89,BCP,BANGCHAK CORPORATION PUBLIC COMPANY LIMITED,SET,RESOURC,ENERG,
90,BCPG,BCPG PUBLIC COMPANY LIMITED,SET,RESOURC,ENERG,
91,BCT,BIRLA CARBON (THAILAND) PUBLIC COMPANY LIMITED,SET,INDUS,PETRO,
92,BDMS,BANGKOK DUSIT MEDICAL SERVICES PUBLIC COMPANY LIMITED,SET,SERVICE,HELTH,
93,BE8,BERYL 8 PLUS PUBLIC COMPANY LIMITED,mai,TECH,-,
94,BEAUTY,BEAUTY COMMUNITY PUBLIC COMPANY LIMITED,SET,SERVICE,COMM,
95,BEC,BEC WORLD PUBLIC COMPANY LIMITED,SET,SERVICE,MEDIA,
96,BEM,BANGKOK EXPRESSWAY AND METRO PUBLIC COMPANY LIMITED,SET,SERVICE,TRANS,
97,BEYOND,BOUND AND BEYOND PUBLIC COMPANY LIMITED,SET,SERVICE,TOURISM,
98,BGC,BG CONTAINER GLASS PUBLIC COMPANY LIMITED,SET,INDUS,PKG,
99,BGRIM,B.GRIMM POWER PUBLIC COMPANY LIMITED,SET,RESOURC,ENERG,
0,BGT,BGT CORPORATION PUBLIC COMPANY LIMITED,mai,CONSUMP,-,
1,BH,BUMRUNGRAD HOSPITAL PUBLIC COMPANY LIMITED,SET,SERVICE,HELTH,
2,BIG,BIG CAMERA CORPORATION PUBLIC COMPANY LIMITED,SET,SERVICE,COMM,
3,BIOTEC,BIO GREEN ENERGY TECH PUBLIC COMPANY LIMITED,SET,SERVICE,TRANS,
4,BIS,Bioscience Animal Health Public Company Limited,mai,SERVICE,-,
5,BIZ,BUSINESS ALIGNMENT PUBLIC COMPANY LIMITED,SET,CONSUMP,PERSON,
6,BJC,BERLI JUCKER PUBLIC COMPANY LIMITED,SET,SERVICE,COMM,
7,BJCHI,BJC HEAVY INDUSTRIES PUBLIC COMPANY LIMITED,SET,PROPCON,CONS,
8,BKD,BANGKOK DEC-CON PUBLIC COMPANY LIMITED,SET,PROPCON,CONS,
9,BKI,BANGKOK INSURANCE PUBLIC COMPANY LIMITED,SET,FINCIAL,INSUR,
10,BKKCP,BANGKOK COMMERCIAL PROPERTY FUND,SET,PROPCON,PF&REIT,
11,BLA,BANGKOK LIFE ASSURANCE PUBLIC COMPANY LIMITED,SET,FINCIAL,INSUR,
12,BLAND,BANGKOK LAND PUBLIC COMPANY LIMITED,SET,PROPCON,PROP,
13,BLESS,BLESS ASSET GROUP PUBLIC COMPANY LIMITED,mai,PROPCON,-,
14,BLISS,BLISS INTELLIGENCE PUBLIC COMPANY LIMITED,SET,TECH,ICT,
15,BM,BANGKOK SHEET METAL PUBLIC COMPANY LIMITED,mai,INDUS,-,
16,BOFFICE,BHIRAJ OFFICE LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,PROPCON,PF&REIT,
17,BOL,BUSINESS ONLINE PUBLIC COMPANY LIMITED,mai,SERVICE,-,
18,BPP,BANPU POWER PUBLIC COMPANY LIMITED,SET,RESOURC,ENERG,
19,BR,BANGKOK RANCH PUBLIC COMPANY LIMITED,SET,AGRO,FOOD,
20,BRI,BRITANIA PUBLIC COMPANY LIMITED,SET,PROPCON,PROP,
21,BROCK,BAAN ROCK GARDEN PUBLIC COMPANY LIMITED,SET,PROPCON,PROP,
22,BROOK,THE BROOKER GROUP PUBLIC COMPANY LIMITED,mai,FINCIAL,-,
23,BRR,BURIRAM SUGAR PUBLIC COMPANY LIMITED,SET,AGRO,FOOD,
24,BRRGIF,BURIRAM SUGAR GROUP POWER PLANT INFRASTRUCTURE FUND,SET,RESOURC,ENERG,
25,BSBM,BANGSAPHAN BARMILL PUBLIC COMPANY LIMITED,SET,INDUS,STEEL,
26,BSM,BUILDERSMART PUBLIC COMPANY LIMITED,mai,PROPCON,-,
27,BTG,BETAGRO PUBLIC COMPANY LIMITED,SET,AGRO,FOOD,
28,BTNC,BOUTIQUE NEWCITY PUBLIC COMPANY LIMITED,SET,CONSUMP,FASHION,
29,BTS,BTS GROUP HOLDINGS PUBLIC COMPANY LIMITED,SET,SERVICE,TRANS,
30,BTSGIF,BTS RAIL MASS TRANSIT GROWTH INFRASTRUCTURE FUND,SET,SERVICE,TRANS,
31,BTW,BT WEALTH INDUSTRIES PUBLIC COMPANY LIMITED,mai,PROPCON,-,
32,BUI,BANGKOK UNION INSURANCE PUBLIC COMPANY LIMITED,SET,FINCIAL,INSUR,
33,BVG,BlueVenture Group Public Company Limited,mai,TECH,-,
34,BWG,BETTER WORLD GREEN PUBLIC COMPANY LIMITED,SET,SERVICE,PROF,
35,B-WORK,BUALUANG OFFICE LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,PROPCON,PF&REIT,
36,BYD,BEYOND SECURITIES PUBLIC COMPANY LIMITED,SET,FINCIAL,FIN,
37,CAZ,CAZ (THAILAND) PUBLIC COMPANY LIMITED,mai,PROPCON,-,
38,CBG,CARABAO GROUP PUBLIC COMPANY LIMITED,SET,AGRO,FOOD,
39,CCET,"CAL-COMP ELECTRONICS (THAILAND) PUBLIC CO., LTD.",SET,TECH,ETRON,
40,CCP,CHONBURI CONCRETE PRODUCT PUBLIC COMPANY LIMITED,SET,PROPCON,CONMAT,
41,CEN,CAPITAL ENGINEERING NETWORK PUBLIC COMPANY LIMITED,SET,INDUS,STEEL,
42,CENTEL,CENTRAL PLAZA HOTEL PUBLIC COMPANY LIMITED,SET,SERVICE,TOURISM,
43,CEYE,Chamni's Eye Public Company Limited,mai,SERVICE,-,
44,CFRESH,SEAFRESH INDUSTRY PUBLIC COMPANY LIMITED,SET,AGRO,FOOD,
45,CGD,COUNTRY GROUP DEVELOPMENT PUBLIC COMPANY LIMITED,SET,PROPCON,PROP,
46,CGH,COUNTRY GROUP HOLDINGS PUBLIC COMPANY LIMITED,SET,FINCIAL,FIN,
47,CH,Chin Huay Public Company Limited,SET,AGRO,FOOD,
48,CHARAN,CHARAN INSURANCE PUBLIC COMPANY LIMITED,SET,FINCIAL,INSUR,
49,CHASE,Chase Asia Public Company Limited,SET,FINCIAL,FIN,
50,CHAYO,CHAYO GROUP PUBLIC COMPANY LIMITED,SET,FINCIAL,FIN,
51,CHEWA,CHEWATHAI PUBLIC COMPANY LIMITED,mai,PROPCON,-,
52,CHG,CHULARAT HOSPITAL PUBLIC COMPANY LIMITED,SET,SERVICE,HELTH,
53,CHIC,CHIC REPUBLIC PUBLIC COMPANY LIMITED,mai,SERVICE,-,
54,CHO,CHO THAVEE PUBLIC COMPANY LIMITED,mai,INDUS,-,
55,CHOTI,"KIANG HUAT SEA GULL TRADING FROZEN FOOD PUBLIC CO., LTD.",SET,AGRO,FOOD,
56,CHOW,CHOW STEEL INDUSTRIES PUBLIC COMPANY LIMITED,mai,INDUS,-,
57,CI,CHARN ISSARA DEVELOPMENT PUBLIC COMPANY LIMITED,SET,PROPCON,PROP,
58,CIG,C.I.GROUP PUBLIC COMPANY LIMITED,mai,INDUS,-,
59,CIMBT,CIMB THAI BANK PUBLIC COMPANY LIMITED,SET,FINCIAL,BANK,
60,CITY,CITY STEEL PUBLIC COMPANY LIMITED,SET,INDUS,STEEL,
61,CIVIL,CIVIL ENGINEERING PUBLIC COMPANY LIMITED,SET,PROPCON,CONS,
62,CK,CH. KARNCHANG PUBLIC COMPANY LIMITED,SET,PROPCON,CONS,
63,CKP,CK POWER PUBLIC COMPANY LIMITED,SET,RESOURC,ENERG,
64,CM,CHIANGMAI FROZEN FOODS PUBLIC COMPANY LIMITED,SET,AGRO,FOOD,
65,CMAN,CHEMEMAN PUBLIC COMPANY LIMITED,SET,INDUS,PETRO,
66,CMC,CHAOPRAYAMAHANAKORN PUBLIC COMPANY LIMITED,SET,PROPCON,PROP,
67,CMO,CMO PUBLIC COMPANY LIMITED,mai,SERVICE,-,
68,CMR,CHIANG MAI RAM MEDICAL BUSINESS PUBLIC COMPANY LIMITED,SET,SERVICE,HELTH,
69,CNT,CHRISTIANI & NIELSEN (THAI) PUBLIC COMPANY LIMITED,SET,PROPCON,CONS,
70,COLOR,SALEE COLOUR PUBLIC COMPANY LIMITED,mai,INDUS,-,
71,COM7,COM7 PUBLIC COMPANY LIMITED,SET,SERVICE,COMM,
72,COMAN,COMANCHE INTERNATIONAL PUBLIC COMPANY LIMITED,mai,TECH,-,
73,COTTO,SCG CERAMICS PUBLIC COMPANY LIMITED,SET,PROPCON,CONMAT,
74,CPALL,CP ALL PUBLIC COMPANY LIMITED,SET,SERVICE,COMM,
75,CPANEL,CPANEL PUBLIC COMPANY LIMITED,mai,PROPCON,-,
76,CPF,CHAROEN POKPHAND FOODS PUBLIC COMPANY LIMITED,SET,AGRO,FOOD,
77,CPH,CASTLE PEAK HOLDINGS PUBLIC COMPANY LIMITED,SET,CONSUMP,FASHION,
78,CPI,CHUMPORN PALM OIL INDUSTRY PUBLIC COMPANY LIMITED,SET,AGRO,FOOD,
79,CPL,CPL GROUP PUBLIC COMPANY LIMITED,SET,CONSUMP,FASHION,
80,CPN,CENTRAL PATTANA PUBLIC COMPANY LIMITED,SET,PROPCON,PROP,
81,CPNCG,CPN COMMERCIAL GROWTH LEASEHOLD PROPERTY FUND,SET,PROPCON,PF&REIT,
82,CPNREIT,CPN RETAIL GROWTH LEASEHOLD REIT,SET,PROPCON,PF&REIT,
83,CPR,CPR GOMU INDUSTRIAL PUBLIC COMPANY LIMITED,mai,INDUS,-,
84,CPT,CPT DRIVES AND POWER PUBLIC COMPANY LIMITED,SET,INDUS,IMM,
85,CPTGF,C.P. TOWER GROWTH LEASEHOLD PROPERTY FUND,SET,PROPCON,PF&REIT,
86,CPW,COPPERWIRED PUBLIC COMPANY LIMITED,SET,SERVICE,COMM,
87,CRANE,CHU KAI PUBLIC COMPANY LIMITED,SET,INDUS,IMM,
88,CRC,CENTRAL RETAIL CORPORATION PUBLIC COMPANY LIMITED,SET,SERVICE,COMM,
89,CRD,CHIANGMAI RIMDOI PUBLIC COMPANY LIMITED,mai,PROPCON,-,
90,CSC,CROWN SEAL PUBLIC COMPANY LIMITED,SET,INDUS,PKG,
91,CSP,CSP STEEL CENTER PUBLIC COMPANY LIMITED,SET,INDUS,STEEL,
92,CSR,CITY SPORTS AND RECREATION PUBLIC COMPANY LIMITED,SET,SERVICE,TOURISM,
93,CSS,COMMUNICATION AND SYSTEM SOLUTION PUBLIC COMPANY LIMITED,SET,SERVICE,COMM,
94,CTARAF,CENTARA HOTELS & RESORTS LEASEHOLD PROPERTY FUND,SET,PROPCON,PF&REIT,
95,CTW,CHAROONG THAI WIRE & CABLE PUBLIC COMPANY LIMITED,SET,INDUS,IMM,
96,CV,CLOVER POWER PUBLIC COMPANY LIMITED,SET,RESOURC,ENERG,
97,CWT,CHAI WATANA TANNERY GROUP PUBLIC COMPANY LIMITED,SET,INDUS,AUTO,
98,D,DENTAL CORPORATION PUBLIC COMPANY LIMITED,mai,SERVICE,-,
99,DCC,DYNASTY CERAMIC PUBLIC COMPANY LIMITED,SET,PROPCON,CONMAT,
0,DCON,DCON PRODUCTS PUBLIC COMPANY LIMITED,SET,PROPCON,CONMAT,
1,DDD,DO DAY DREAM PUBLIC COMPANY LIMITED,SET,CONSUMP,PERSON,
2,DELTA,DELTA ELECTRONICS (THAILAND) PUBLIC COMPANY LIMITED,SET,TECH,ETRON,
3,DEMCO,DEMCO PUBLIC COMPANY LIMITED,SET,RESOURC,ENERG,
4,DHOUSE,DHOUSE PATTANA PUBLIC COMPANY LIMITED,mai,PROPCON,-,
5,DIF,DIGITAL TELECOMMUNICATIONS INFRASTRUCTURE FUND,SET,TECH,ICT,
6,DIMET,DIMET (SIAM) PUBLIC COMPANY LIMITED,mai,PROPCON,-,
7,DITTO,DITTO (THAILAND) PUBLIC COMPANY LIMITED,mai,TECH,-,
8,DMT,DON MUANG TOLLWAY PUBLIC COMPANY LIMITED,SET,SERVICE,TRANS,
9,DOD,DOD BIOTECH PUBLIC COMPANY LIMITED,mai,CONSUMP,-,
10,DOHOME,DOHOME PUBLIC COMPANY LIMITED,SET,SERVICE,COMM,
11,DPAINT,DELTA PAINT PUBLIC COMPANY LIMITED,mai,PROPCON,-,
12,DREIT,DUSIT THANI FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,PROPCON,PF&REIT,
13,DRT,DIAMOND BUILDING PRODUCTS PUBLIC COMPANY LIMITED,SET,PROPCON,CONMAT,
14,DTCENT,D.T.C. Enterprise Public Company Limited,SET,TECH,ICT,
15,DTCI,D.T.C. INDUSTRIES PUBLIC COMPANY LIMITED,SET,CONSUMP,HOME,
16,DUSIT,DUSIT THANI PUBLIC COMPANY LIMITED,SET,SERVICE,TOURISM,
17,DV8,DV8 PUBLIC COMPANY LIMITED,mai,SERVICE,-,
18,EA,ENERGY ABSOLUTE PUBLIC COMPANY LIMITED,SET,RESOURC,ENERG,
19,EASON,EASON & CO PUBLIC COMPANY LIMITED,SET,INDUS,AUTO,
20,EASTW,EASTERN WATER RESOURCES DEVELOPMENT AND MANAGEMENT PCL.,SET,RESOURC,ENERG,
